Status,2,3,4,5,6,7,8,9,10,11,12,13
P,4037,4473,4082,4023,3601,3199,3180,3115,2982,2818,2462,1630
ABS,1321,1557,1707,1778,1776,1964,1847,1958,2159,2203,2365,2482
PDG,192,146,182,104,63,66,80,94,68,70,60,87
NM,183,143,66,47,55,70,54,46,80,87,107,155
PWR,168,131,102,43,41,55,62,44,45,91,100,131
AA,118,107,166,185,127,132,113,140,147,105,82,84
CC,7,0,73,54,4,34,88,0,0,44,13,60
U,1,19,7,8,4,2,3,7,0,0,6,11
ARC,0,0,0,0,0,0,0,0,0,0,9,15
LAB,0,0,0,0,0,0,0,0,0,0,0,0
O,0,0,6,0,0,0,0,0,0,1,2,1
PRM,0,0,0,1,4,3,0,48,37,70,49,31
PROJ,0,7,0,5,2,10,20,11,56,66,27,122
