Status,2,3,4,5,6,7,8,9,10,11,12,13
P,5744,6237,5659,5439,4968,4383,4421,4155,4175,3892,3397,2337
ABS,1824,2217,2505,2743,2586,2947,2680,2986,3180,3257,3460,3567
PDG,283,179,230,168,79,101,115,110,105,101,111,98
PWR,265,211,142,70,69,58,101,71,62,93,156,184
NM,209,155,64,57,55,81,53,66,90,85,84,214
AA,131,180,220,155,165,165,165,157,141,151,104,55
CC,19,0,99,80,16,58,125,0,0,54,16,76
U,5,6,26,23,17,12,3,0,3,3,5,11
ARC,0,0,0,0,0,0,0,0,0,0,21,37
LAB,0,0,0,0,0,0,1,0,0,4,0,0
O,0,0,14,0,0,0,0,0,3,2,6,4
PRM,0,0,0,0,14,9,0,73,42,88,69,40
PROJ,0,17,0,12,2,20,41,30,79,100,44,194
